SMILES,Peso Molecular,LogP,QED,Lipinski
CCCCCC(C)CC(C)CC,170.203,4.639,0.488,True
C1CC1CCC1CC1,110.11,2.587,0.524,True
CC(C)CCCC(C)CC(C)C,170.203,4.495,0.551,True
CCC1CC12C(C)C2CC1CC1,164.157,3.469,0.599,True
CC1CC1(C)CCCC1CC1,152.157,3.613,0.577,True
CC1C2CCC3CC3C3CC132,148.125,2.689,0.495,True
CC1C(C)C12CC2CCC1CC1,164.157,3.469,0.599,True
CCCC1CC1CCC1CC1,152.157,3.613,0.564,True
CC(C)CCC1CC12C(C)C2C,166.172,3.715,0.599,True
CCCC1CC1,84.094,2.197,0.481,True
CCCC1(C)CC1C,112.125,2.833,0.515,True
CCCC1CC1CCC1CC1C,166.172,3.859,0.582,True
CC(C)C1CC1CCC12CC1C2,164.157,3.469,0.597,True
CCC1(C)CCC2CC23CC3C1,164.157,3.613,0.555,True
CCCC1CN1C,99.105,1.1,0.468,True
CCCCCCC(C)C(C)CC,170.203,4.639,0.488,True
CCC(C)CCC1CC1,126.141,3.223,0.542,True
CCCCC(C)(C)CCC,142.172,4.003,0.544,True
CCC(C)CCCC(C)C(C)C,170.203,4.495,0.551,True
CC1C2CC23C2CC45C2C42C1C352,156.094,1.908,0.502,True
CC1CC1CCCC1(C)CC1C,166.172,3.859,0.595,True
CC1C2CC3(CCC4CC412)CC3,162.141,3.223,0.513,True
CCCC1CC1CCC(C)C,154.172,3.859,0.564,True
CCCCCC1CC1C(C)CC,168.188,4.249,0.52,True
CC1CC12CC2C12CC1(C)C2C,162.141,3.079,0.556,True
CCC(C)CCC1CC12CC2C,166.172,3.859,0.595,True
CCCCCCC1(C)CC1C,154.172,4.003,0.525,True
CCC1(C)CC1C1CC12CC2C,164.157,3.469,0.586,True
CCC(C)CCCC1(C)CC1C,168.188,4.249,0.575,True
CCCCCCC(C)C,128.157,3.613,0.496,True
CCC1CC12C(C)C2C1C2CC21,162.141,2.935,0.585,True
CC1CCC2CC23C(C)C3CC1,164.157,3.469,0.514,True
CBC,42.064,0.519,0.346,True
CCC(C)C1CC2CC23CC13C,164.157,3.469,0.586,True
CC1C2C3CC3(C)CCCC12C,164.157,3.469,0.514,True
CC1C2CCC3(C)CC3C3CC132,162.141,3.079,0.513,True
CC(C)CCCC1CC12CC2C,166.172,3.859,0.595,True
CCCC1CC1C1CC1(C)C,152.157,3.469,0.581,True
CCCCC(C)C,100.125,2.833,0.511,True
CCCCC1CC1,98.11,2.587,0.509,True
C1CC2C3CCC(CC4CC14)C23,162.141,3.079,0.513,True
CC1C(C)C1(C)CCCC1CC1,166.172,3.859,0.595,True
CCCCCC(C)CC,128.157,3.613,0.496,True
CC(C)C(C)CCCC1CC1,154.172,3.859,0.564,True
CC1C2C1C21C2CC3(C)CC3C21,160.125,2.544,0.511,True
CCCC(C)CC,100.125,2.833,0.511,True
CCCC(C)NC,101.12,1.394,0.566,True
CC(C)CCC1CC1,112.125,2.833,0.526,True
CC1CC12CC2C(C)C12CC1C2,162.141,3.079,0.585,True
CCC(C)CCC(C)C1CC1C,168.188,4.105,0.579,True
CCC1CC(C)CCCC2CC12,166.172,3.859,0.555,True
CCCC(C)CCCC1CC1,154.172,4.003,0.542,True
CCCC1CC1CCCC(C)C,168.188,4.249,0.556,True
CCCCCC(C)C(C)C,142.172,3.859,0.511,True
CC1CC1CCC1CC1,124.125,2.833,0.542,True
CCC1CC1C(C)C,112.125,2.689,0.515,True
CC1C2CC3CC34CC4C3CC132,160.125,2.689,0.511,True
CCCCCCCC(C)C,142.172,4.003,0.492,True
CC(C)C1CC1CCC1CC1,152.157,3.469,0.578,True
CC1C2C3C4CC45C3C5C3CC132,158.11,2.154,0.507,True
CC1CCCC2CC12,110.11,2.443,0.449,True
CCC1CC1C(CC)C1C2CC21,164.157,3.325,0.598,True
CCCCCC(C)CC(C)C,156.188,4.249,0.504,True
CCCCC(C)CCC,128.157,3.613,0.53,True
CCCCC1CC12C(C)C2C,152.157,3.469,0.581,True
CC1C2C3C4CC43CCCC12C,162.141,3.079,0.513,True
CC1C2CCC3(C)CC3CC12C,164.157,3.469,0.514,True
CC#N,41.027,0.53,0.387,True
CCC(C)C1CC1CCC1CC1,166.172,3.859,0.582,True
CC12CCC3C4C(CCC1C34)C2,162.141,3.079,0.513,True
C1CC23CCC4C1C41CC1C2C3,160.125,2.833,0.511,True
CCCNC,73.089,0.616,0.505,True
CC1C2CC34CC(C3C4)C3CC132,160.125,2.689,0.511,True
CCN,45.058,-0.035,0.406,True
CCCCN,73.089,0.745,0.512,True
CC1C2C3C45CC(C6CC162)C34C5,158.11,2.298,0.507,True
CC(C)C1CC1CC1CC1C,152.157,3.325,0.582,True
CBNN,58.07,-1.151,0.227,True
CCCC1CC1C,98.11,2.443,0.497,True
CC12CC1C1C3(C)C2CC2CC213,160.125,2.689,0.511,True
CC1CC12CC2C1CC12CC2,148.125,2.833,0.536,True
CCCCCCN,101.12,1.525,0.534,True
CCCC1CC1CCCNC,155.167,2.422,0.581,True
CBN,43.059,-0.655,0.358,True
CCCC1(C)C(C)C1CC1CC1,166.172,3.859,0.595,True
CC1CC12CC2CCC1(C)CC1,164.157,3.613,0.597,True
CC1CC12CC2CCC(C)(C)C,166.172,3.859,0.584,True
CCCCC(C)CC(C)C,142.172,3.859,0.547,True
CNNN,61.064,-1.416,0.258,True
CC1CCCC2(C)C(C)C2CC1,166.172,3.859,0.512,True
CCNC(C)NC,102.116,0.161,0.496,True
CC12CC1C1C3CC2CC2CC231,160.125,2.689,0.511,True
CC(C)CCC1CC12CC2C,152.157,3.469,0.581,True
CCCCCC1(C)CC1C,140.157,3.613,0.523,True
CBCCC,70.095,1.299,0.429,True
CCC1CC(C)(C)CCC2CC21,166.172,3.859,0.555,True
OOOO,65.995,-0.119,0.331,True
CC(C)C1CC1C1CC12CC2,150.141,3.079,0.567,True
CCCC(C)CCCCC(C)C,170.203,4.639,0.488,True
CNCCCCCC(C)C,143.167,2.422,0.563,True
CC1CC1C(C)C1CC12CC2,150.141,3.079,0.567,True
CC(C)CCCC1CC1,126.141,3.223,0.542,True
CC1CC1,56.063,1.416,0.393,True
CN,31.042,-0.425,0.385,True
CC(C)CCCC1CC1C(C)C,168.188,4.105,0.579,True
CC1C2C3CC3(C)CCC3CC312,162.141,3.079,0.513,True
CC1C2C3(CCC45CC4C5)CC123,160.125,2.833,0.595,True
CC(C)C1CC1CCC1CC1C,166.172,3.715,0.597,True
CCCCCCCCC,128.157,3.757,0.478,True
CC#CCC,68.063,1.42,0.376,True
CCCCC1C(C)C12CC2CC,166.172,3.859,0.595,True
CCCC1CCN1,99.105,1.148,0.547,True
CC(C)CCC1CC1C(C)C,154.172,3.715,0.579,True
CC1CCCC2C(C)C2CC1C,166.172,3.715,0.514,True
CCCC(CC)CCC1CC1,154.172,4.003,0.542,True
CCCC(C)CCCC(C)C,156.188,4.249,0.539,True
CC12CCC3C4CC5C34C51CC2,160.125,2.833,0.511,True
CCCCCCC1(C)C(C)C1C,168.188,4.249,0.538,True
